1	<html>@1<br> -Một</html>
Chăm	<html>@Chăm<br>-@Chăm<br>- dân tộc Chăm<br>- With about 100,000 inhabitants, Chăm (Chàm, Chiêm, Hời) ethnic group originates from Ancient Chăm Pa Kingdom. They live mainly in Ninh Thuận, Bình Thuận, Bình Định, Phú Yên. Belonging to Mã Lai-Đa Đảo linguistic group, the Chăm people remains influenced by matriarchy and Indian culture. The ancient Chăm writing is Sanskrit-based. Hinduism+and Mohammedanism are their principal religions<br>- THE UNIQUE CHĂM CULTURE: The Chăm culture is a unique tradition, contributing much to the+diversity and richness of the Vietnamese multi-ethnic culture. From the first century AD, the Chăm people received deep influences from Indian culture. In the 7th century AD, Chăm Pa was already a kingdom with a capital in Trà Kiệu (now Quảng Nam) with a temple dedicated to the Indian Valmiki and his famous epic, the Ramayana By the middle of the 8th century AD, their capital was shifted to Nha Trang and five years later to Đông Dương, 15 km away from Trà Kiệu in the southeast.<br>- The Chăm are one of the 53 ethnic groups in Vietnam and comprise various subgroups. There are around 98,000 Chăm people, including the Chăm Hroi in Bình Định, Phú Yên and those living in Ninh Thuận, Bình Thuận and other parts of southern Vietnam Inhabiting a large area, the Chăm also have many diversified customs and social practices. While most of the Chăm in Saigon, AnGiang and Tây Ninh, and the Chăm from Cambodia follow Islam, those living in Bình Thuận, Ninh Thuận provinces follow Brahmanism. Islam is modified to suit the people here and is called 'Baní. The Chăm language is of the+Malayo-Polynesian family and is spoken by about 250,000 people (G Moussay, Dictionaire Cham-Vietnamien-Francais, published by Phan Rang Culture Centre 1971). However, it does not necessarily follow that the Chăm in different regions can fully understand each other. It is natural that the Chăm borrow local words and expressions at the place they reside, mainly from Khơ Me and Vietnamese. In terms of their script, only the Cham Dong (in Bình Thuận, Ninh Thuận provinces) have preserved their original script. The Chăm script is now being taught at elementary school to help maintain this unique linguistic tradition. The Chăm also+utilised the Akhar Thrah scripts from Nam An which has been incorporated into present-day Chăm scripts. Ancient texts written on papyrus or paper+used both of these scripts and include various epics and love stories such as the Devamuno Inra Patra, Ummurup, Cambini, Bini-Cam, Sah Pakei, Patauw Kamai, Patauw adat Likei etc. This ancient literature gives a clear picture of the life and society of the Chăm through history. Together with academic literature, the Chăm also have very rich popular literature+which comprises hundreds of stories, sayings, idioms, puzzles, songs etc., which make up a precious literary tradition. Chăm people have songs for+fishing using the 'vai chai' rhythm (pwoc jah), betrothals (danh dom da ra), milling rice (danh rasung chai) etc. These rhythms are also sung during festivities with dances which have become a real attraction to spectators. Surely the greatest and most unique contribution from the Chăm culture is their architecture and carvings Historical stupa compounds in Mỹ Sơn (Quảng Nam-Đà Nẵng), Tháp Bà (Nha Trang), Tháp Chàm (Ninh Thuận) and various Tara statues in Đông Dương, and Apsaras in Trà Kiệu have all had their position+confirmed in the Southeast Asian sculptural tradition.+Though most of these works were created for religious purposes and stemmed from Brahmin spiritualism, they became popularised and part of the Chăm+national culture. As such, the Indian-inspired Vishnus, and Shivas went through considerable transformations and became more human when recreated by Chăm artisans.=In the present day, the Chăm people have adjusted their lives to local conditions. People in Tây Ninh mostly work in agriculture, fishing and+commerce while those who live near Saigon have developed an urban lifestyle. The majority, however, still maintain traditional professions like cultivation, husbandry, weaving and ceramic production. Chăm+handicrafts are now exported to various countries where they are highly appreciated due to their unique style and high quality workmanship</html>
Dao	<html>@Dao<br>-@Dao<br>- dân tộc Dao<br>-With more than 400,000 inhabitants, Dao ethnic group occupies 0.65% of the<br>=Vietnamese population and belongs to Mèo-Dao linguistic group. They live+at the altitude of 700-1000m, whereas H'Mong ethnic group at the more<br>=considerable altitude. Most of them inhabit Hà Giang - Tuyên Quang, and+part of them in the northwest regions. Dao ethnic group came to Vietnam six centuries ago, and remains in a nomad life</html>
Duy Tân	<html>@Duy Tân<br>-@Duy Tân<br>- King Duy Tân (ruler from 1907 to 1916) whose name at birth was Vĩnh San was considered the mastermind behind the patriotic armed insurrection led by Thái Phiên, Trần Cao Vân and many other patriots. The insurrection, however, was soon discovered and crushed and all participants were killed. Only King Duy Tân was exiled to the Reunion island in the Indian Ocean. The king was released from jail only to be dragged into a re-invasion scheme of Vietnam after the World War II. He was fired at in a suspicious air-crack in Middle-Africa on Christmas day of 1945 as his "Absolute Independence policy" was not in line with the colonial aspirations of General De Gaulle. Unfortunately, the patriotic king was misunderstood by most Vietnamese people due to his unclear relation with General De Gaulle. By the 1960s, Vietnamese and French researchers brought to light the relation between king Duy Tân and General De Gaulle, proving the unchanging patriotic will of the king. In 942, from the jail island Reunion, listening for the first time to the anti-fascism appeal of General De Gaulle broadcast from Britain, king Duy Tân showed a deep respect and admiration for him. He then founded a war-resistant group operating for the ally- France. With a self-made radio, he recorded and transmitted information to the French Liberation Force against the pro-Germany government at VichỵWhen Reunion island was liberated by the French Liberation Force, he voluntarily enrolled as a Radio maitre aboard the ship Leopard. In March 1945, France was liberated. By the end of the year, subsequent to the abdication of king Bảo Đại in Vietnam, De Gaulle arranged for 100 parachute commandos in Sài Gòn to prepare for the setting up of a dynasty headed by king Duy Tân.But Vĩnh San (king Duy Tân) knew nothing about this secret scheme. He vigorously believed that the French hero De Gaulle would help him bring peace, re-unification, and complete independence to his home country, Vietnam.+Additionally, he was opposed to the plan of ascending the throne . His political viewpoint was sharply contested and led him to become pessimistic. On December 17, 1945, he predicted his death to his friend and immediately wrote a political statement to express his belief in struggling for the unification of the north, centre and the south of Vietnam. As predicted, the event of his death took place eight days later His statement was veiled in secrecy until 1947 when the Combat newspaper copied and ran it. This delay in publicizing the facts surrounding his death and the nature of his true intentions for planning for a unified Vietnam made him misunderstood by the people of Vietnam. In reality, this patriot deserves the respect of all the peoplẹIn April 1987, thanks to the joint assistance of the governments of Vietnam and France, the king's remains were moved by his relatives to Vietnam and set down next to the royal mausoleums of King Dục Đức (his grandfather) and King Thành Thái (his father) in the central city of Huế</html>
Giãn xương giãn cốt	<html>@Giãn xương giãn cốt<br>-@Giãn xương giãn cốt<br>-như giãn xương</html>
Hoa	<html>@Hoa<br>-@Hoa<br>- dân tộc Hoa<br>- In the late 19th century, nearly 500,000 Chinese migrated to Southeast Asia. With 1,000,000 inhabitants, Hoa ethnic group occupies 1.77 % of the Vietnamese population and lives mainly in Chợ Lớn area of Saigon (HoChiMinh City), Cần Thơ, Kiên Giang, Đà Nẵng, Hà Nội, Hải Phòng, Quảng Ninh.....Most of them are workers and have been+naturalised in Vietnam. However, many members of Hoa ethnic group are expert in business and held several leading economic branches in South-Vietnam before</html>
Hoà Bình	<html>@Hoà Bình<br>-@Hoà Bình<br>- Located on Highway 6, Hoà Bình provincial capital is 70km southwest of Hà Nội. Hoà Bình town and the adjacent area were the cradle of the Hoà Bình culture (see also Các Nền Văn Hoá Ỗ Việt Nam). Hoà Bình province is inhabited by Mường, Kinh (or Việt), Thái, Tày, Dao, H'Mông and Hoa. It attracts local and foreign visitors by such places as Kim Bôi Hot Spring, Hoà Bình Hydro-Electric Power Plant on Đà River...</html>
Hoàng Hoa Thám	<html>@Hoàng Hoa Thám<br>-@Hoàng Hoa Thám<br>- Hoàng Hoa Thám (Đề Thám,1858-1913) - an insurgent leader in the early 20th century - had Trương Văn Nghĩa as true name and "Grey Tiger" as pseudonym. His native village was in Tiên Lữ (Hưng Yên). He took part in the anti-French resistance at the age of 16, in the Yên Thế (Bắc Giang) movement, then became a leader in 1892. The French had+to make peace with him twice. The insurrection spread throughout the midlands and the delta of Tonkin, even in Hà Nội. He also commanded the poisoning in Hà Nội Citadel in 1908. After the French had concentrated nearly 2,000 soldiers for an attack on Yên Thế (1909), the insurgents suffered heavy losses. Hoàng Hoa Thám was betrayed and+murdered on February 10th 1913</html>
Huế	<html>@Huế<br>-@Huế<br>- Today's Huế is the provincial capital of Thừa Thiên - Huế.The melancholy beauty of Huế, capital of the last Vietnamese feudal regime, derives from the quiet Sông Hương (Perfume River) weaving its course between rolling hills housing the temples and tombs of the Nguyễn Kings This feature of Huế has been enhanced by the recent addition of many modern hotels and offices on the banks of the river. On the southern bank of Perfume River, construction has started beside the Hương Giang Hotel for the new, three-star, 138-room Huế Hotel. Huế is one of the three biggest tourist centres of Vietnam. Its attraction lies first of all in the many temples, palaces and mausoleums of Nhà Nguyễn (Nguyễn Dynasty) built between 1805 and 1832. The old citadel measures 11 kilometres in circumference with a 21-metre thick wall and a flagpole standing 54.4 metres high. The Nguyễn kings, from Tự Đức and Minh Mạng to Đồng Khánh and Thiệu Trị were buried in mausoleums of different architectural styles. Huế also boasts nearly one hundred Buddhist pagodas and temples. Visitors should not miss Thiên Mụ Pagoda built in 1601 on a very poetic site on the bank of Perfume River, or the Từ Đàm pagoda.=Among Huế's many tourist attractions are Perfume River, Ngự Mountain, Tràng Tiền and Phú Xuân bridges, Vọng Cảnh (Belvedere) Hill, Bạch Mã (White Horse) Mountain, Hải Vân Pass, Tam Giang Lagoon, Thuận An and Cảnh Dương beaches and further north, the Cửa Tùng and Cửa Việt estuaries. Huế also boasts the National College which was attended by patriotic Vietnameses, Duong Mo village with fascinating records from the fight against the French, and the museum devoted to Phan Bội Châu, a prominent patriot during the early years of French domination. From Huế, you can rent a car from the Thừa Thiên - Huế tourist company to visit the system of tunnels in Vinh Moc village dug during the Vietnam war and Hiền Lương bridge at the demarcation line established between North and South Vietnam following the 1954 Geneva Conference. Then you can proceed to Cồn Tiên and Dốc Miếu, famous battle sites where vestiges of the US defence line are till visible, and further west, the mysterious Hồ Chí Minh Trail. Visitors will never be bored by monotony or repetition during a ten-day or five-day package tour of Huế. If you are an admirer of antiquities, you may order a "royal feast" at the Hương Giang Hotel or sit on a "dragon" rowboat (which used to cater for the royal family only) and listen to the mellow song of young girls rowing. If you want to watch the quiet glory of dusk over the Huong River you can hire a room at the Hương Giang or Huế hotels. If you like to listen to the lapping of sea waves, go to Tân Mỹ Hotel on the beach at Thuận An. If you want a completely still night, you may choose Thuận Hoá or Morin hotels. Wherever you go you will be treated to the most varied traditional dishes of Huế, prepared and served by lovely girls dressed in the violet "áo dài" (long gown) which is also a typical feature of Huế.=From Hà Nội or Saigon, you can reach Huế by air, land and water. A twice weekly air service has just been inaugurated between Phú Bài airport in Huế and Tân Sơn Nhất airport in Thành Phố Hồ Chí Minh. A similar service will soon operate between Huế and Hà Nội, and arrangements are being made with Thai Airlines to link Phú Bài with Bangkok. In 1991 the Thừa Thiên - Huế tourist company received 60,000 guests including 10,000 foreigners. Investment on infrastructure will increase from 4.2 billion dong in 1991 to 10.5 billion this year.With its present capacity, Huế can receive at any one time 1,100 guests at both state-owned hotels which have more than 500 rooms, plus at private mini-hotels and homes To know more about Hue, please search the entry Thừa Thiên - Huế</html>
Hà Tiên	<html>@Hà Tiên<br>-@Hà Tiên<br>- Hà Tiên is a small town located on the banks of the Giang Thanh river and surrounded on all the sides with mountain ranges. The town is 120 kilometres from Rạch Giá (provincial capital of Kiên Giang) and 370 kilometres from Saigon. Hà Tiên has 10 famous tourist attractions the names of which are mentioned in a piece of poetry named "Hà Tiên Thâp Vịnh". Besides the attraction of swimming in the sea, visitors are likely to be interested in sightseeing. And the most likely place to be is Đông Hồ (Đông Lake). The lake is two kilometres wide and about three kilometres long. The vast water surface looks tranquil all the time, due to the shelter offered by the surrounding mountains</html>
Hà Tĩnh	<html>@Hà Tĩnh<br>-@Hà Tĩnh<br>- Hà Tĩnh is situated 340km from Hà Nội. Đồng Lộc is the meeting place of the two provincial roads 5 and 15 in the hilly area of Hà Tĩnh province. During the anti-US war, Đồng Lộc Forked Road was the main junction of the supply line from the North to Hồ Chí Minh Trail. US aircraft concentrated a great number of bombs and ammunitions in repeated efforts to destroy the junction and the surrounding area. This less than 0-km section of road had to undergo 2,057 bombardments. A memorable place is the native village of the great poet Nguyễn Du. Nguyễn Du was born in 1765 from a family of scholars and illustrious mandarins. Having successfully passed the provincial examinations at the age of nineteen, he served as military mandarin under Lê Cảnh Hưng. In 1789, Nguyễn Huệ (emperor Quang Trung) made a northward advance and drove 290,000 Qing invaders out of the country. King Lê Chiêu Thống cowardly fled the country and followed the invaders. After the fall of the Lê Dynasty, Nguyễn Du refused to serve Nguyễn Huệ. Instead, he chose to live in poverty for 10 years in his wife's native village in Thái Bình province In 1802, Nguyễn Du grudgingly accepted service under Gia Long, the founder of Nhà Nguyễn (Nguyễn Dynasty). However, in his heart, he did not like mandarin work and applied for retirement no less than three times, each time in vain. He was named Deputy Minister at the Ministry of Rites. In 1820, he died in the royal capital of Huế. His most famous work is Kiều Story, a narrative in 3,254 verses. With this work, Nguyễn Du stands out as the greatest poet Vietnam has ever produced There is a house in commemoration of Nguyễn Du in Tiên Điền village. About one kilometre from the house is his tomb</html>
Hàn luật	<html>@Hàn luật<br>-@Hàn luật<br>- Han Thuyen's prosody (of the Tran dynasty) (based on the Tang's)</html>
Hạ Long	<html>@Hạ Long<br>-@Hạ Long<br>- Xem Quảng Ninh</html>
Hồ Chí Minh	<html>@Hồ Chí Minh<br>-@Hồ Chí Minh<br>- Legendary leader of the Vietnamese communists in the North, he is virtually unknown to people in the South. Note: Due the conflicting information between the two side, oversea and Vietnam, we decide to postpone this entry</html>
La mã hóa	<html>@La mã hóa<br>-@La mã hóa<br>- Romanize</html>
Lào Cai	<html>@Lào Cai<br>-@Lào Cai<br>- Lào Cai is one of several provinces situated on the Sino-Vietnamese borderline. It is in the northwestern part of the country. Topography of Lào Cai is diversified with rivers, high mountain peaks, steep and high mountain passes, deep streams and wide valleys. Lào Cai is home to primeval forests with several kinds of rare timber plants such as Po Mu (fukiena), Lat Hoa (chukrasia tabularis) and Cho Chị It is also the habitat of many kinds of medicinal herbs and rare animals including deer, wild boars, tigers... Lao Cai is also reputed for its mineral resources Sapa is the most attractive rendez-vous in Lào Cai. Visitors to Sapa can attempt the walk across a suspended bamboo bridge over Muong Hoa River Next to the bamboo bridge is a beautiful water fall known locally as Thác Bạc (Silver Fall). The rooftop of Vietnam is called Fansipan mountain peak which is 3,141m above sea level. The highest peak in Vietnam is in Hoang Lien Son mountain range</html>
Lê Đại Hành	<html>@Lê Đại Hành<br>-@Lê Đại Hành<br>- As an excellent strategist, Lê Đại Hành (941-1005) was the king founding Nhà Tiền Lê (Pre-Le Dynasty) (980-1009). His native land was in Thọ Xuân (Thanh Hoá). Born in a poor family, Lê Hoàn (future Lê Đại Hành) was an orphan from his early childhood but very studious. He was appointed as Commander-in-chief by Đinh Tiên Hoàng. In 979, after Đinh Tiên Hoàng had been assassinated, Lê Hoàn became the regent because Đinh Tiên Hoàng 's successor remained too young. In 980, the Tống Chinese dynasty prepared to annex our country. In 981, the queen mother Dương Vân Nga and the armed forces unanimously enthroned Lê Hoàng as Lê Đại Hành. In 981, Lê Đại Hành trounced the Tống invaders on Bạch Đằng River and at Chi Lăng Pass. After Lê Đại Ha`nh's death in 1005, his son Lê Long Đĩnh killed his elder brother to usurp the throne. Indulging in debauchery, this cruel king Lê Long Đĩnh always stretched out at the royal conferences, therefore he was also called Lê Ngoa. Triều (Ngoa. Triều means "To stretch out at the royal conferences"). After his death, Lý Công Uẩn replaced him in 1009 and founded Nhà Hậu Lý (Post-Ly Dynasty)</html>
Lùi xùi	<html>@Lùi xùi<br>-@Lùi xùi<br>- Untidy, slovenly, shabby<br>=ăn mặt lùi xùi+To be untidily (slovenlily) dressd<br>=Đám cưới lùi xùi+A shabby wedding</html>
Lúc lắc	<html>@Lúc lắc<br>-@Lúc lắc<br>- Oscillate, swing<br>=lúc lắc cái chuông+To swing a bell</html>
Lạc Long Quân	<html>@Lạc Long Quân<br>-@Lạc Long Quân<br>- Lạc Long Quân - son of Kinh Dương Vương and Long Nữ (Long Vương's daughter) - had an unusual strength. His father entrusted him with governing the Lĩnh Nam region, suppressing the demons and teaching the people to grow water-rice, to cook rice and to cut wood for building houses. Lạc Long Quân married Âu Cơ - Đế Lai's daughter - who would give birth to a 100-egg bag hatching into 100 sons. 50 out of them followed their father to go down in sea, and the remainder followed their mother to go up in the mountains and became the ancestors of the Việt people. The eldest son was nobody other than King Hùng. So, the Việt people always consider themselves as " Dragon's children, Fairy's grandchildren". Geographically, this legend reflected the process of exploiting mountains and Northern Delta by the Việt people</html>
Mường	<html>@Mường<br>-@Mường<br>- dân tộc Mường<br>- With about 800,000 inhabitants, Mường ethnic group occupies 1.3% of the Vietnamese population. The Mường people's residential sphere set up an arc between the Vietnamese from Vĩnh Phú to west of Hoà Bình, then to midlands of Nghệ An and Thanh Hoá. They belong to Việt-Mường linguistic group, but their culture is closer to Thái ethnic group. They live on growing rice, breeding, forging. Their residential area houses Hoà Bình Culture of the neolithic era along with which rice-growing appeared over 8,000 years BC Khua Luong ("Beating the mortar" in the Mường dialect) is a game played with wooden instruments by the Mường ethnic group, who settled in northern Vietnam in the early days of the nation's historỵThe instruments of this game consist simply of mortars and pestles, all made of wood Mortars and pestles are very familiar items of use in the life of the Mường community. They are used to husk rice before it is cooked, or to crush lean meat to make giò, bánh giày, and so on. Thus the sound of the pestle and mortar is very familiar to the Mường women. Gradually, it came to be used as a musical instrument producing familiar sounds and rhythms. Through generations, this musical instrument has known many refinements and finally was used as an instrument for a concert by both young people and the old people in the village. This musical instrument dates back many thousands of years and has been preserved to date as a precious tradition among the Mường ethnic group. It might have come into existence long before the Việt community knew how to melt copper to make bronze drums and bronze bells for musical instruments.=Nowadays, among the Mường community at Thường Xuân, Thanh Hoá+province, there exist many Khua luong teams each comprising six to eight young girls. They can play up to 12 traditional concerts reflecting the landscape and the atmosphere of the Bản Mường (Mường villages)as well as the feelings of the people there. The most typical of the concerts are those depicting "a wedding party in the village", a scene of " Welcoming Guests", of "Waiting for the Bride" and of the wedding ceremony itself. In the "Welcoming Guests" item, a merry atmosphere is created through the sounds of pestle and mortar as the people busy themselves with husking rice and making cake to entertain the guests. In the "Waiting for the Bride" concert, there reigns an atmosphere of impatient longing for the bride. In the "Wedding Party", the stately sounds help people to get rid of the noisy crowd and enter a world of quiet felicity as the bride and groom gather under the cosy roof of their new house. Besides the four main concerts, there are some others such as "Welcoming New Rice", the "Early Rains", "Hymn to the Genie of Thunder". It is hard to imagine the perfection of the sounds and music unless you attend one of the ceremonies where khua luong concerts are performed. The music leaves a deep impression on the audience and, at times, tugs at the heartstrings</html>
Nga hoàng	<html>@Nga hoàng<br>-@Nga hoàng<br>- (sử học) Tsar, tzar</html>
Nga văn	<html>@Nga văn<br>-@Nga văn<br>- Russian [language]<br>=Sách dạy Nga văn+A Russian textbook</html>
Nguyễn Du	<html>@Nguyễn Du<br>-@Nguyễn Du<br>- Nguyễn Du (1766-1820) - a great classical poet - had Tiên Điền (Nghi Xuân, Hà Tĩnh) as native land. Nguyễn Du was descended from a noble mandarin family (his father and his elder brother had been prime ministers of Nhà Hậu Lê), but he himself had to pass through many hardships in the 18th century full of troubles. Famous for writing talent, he only graduated as junior bachelor. In 1802, as a mandarin of Nhà Nguyễn, he was hauntingly worried about the current circumstances. His works were both realistic and romantic. He was the author of Truyện Kiều (a very popular poetic masterpiece), Văn Chiêu Hồn, Bắc Hành Tạp Lục and Nam Trung Tạp Ngâm. World Peace Council classifies Nguyễn Du among+memorable cultural celebrities in the world</html>
Nguyễn Dữ	<html>@Nguyễn Dữ<br>-@Nguyễn Dữ<br>- Born in an intellectual family, the writer Nguyễn Dữ (16th century) graduated as bachelor. His native village was in Thanh Miên, Hải Dương. He had nurtured a good will for society, but later, became disheartened and led a secluded life. Nguyễn Dữ was the author of Truyền Kỳ Mạn Lục</html>
Nguyễn Trãi	<html>@Nguyễn Trãi<br>-@Nguyễn Trãi<br>- Nguyễn Trãi (1380-1442) - a great politician, strategist, diplomat, poet - was born in Thăng Long, and his paternal village located in Nhị Khê (Thường Tín - Hà Tây). His mother was the daughter of Trần Nguyên Đán (a high-ranking mandarin of Nhà Trần). His father was Nguyễn Phi Khanh who had graduated as doctor. At the age of 20, Nguyễn Trãi also graduated as doctor and served in the Hồ dynasty like his father. On the occurence of the Chinese invasion, Nguyễn Phi Khanh was captured and marched off to China. Nguyễn Trãi was kept under surveillance in Đông Quan (Thăng Long). Later, he fled in Lam Sơn to follow Lê Lợi (future Lê Thái Tổ), submitted Bình Ngô Sách (strategies of the people's war against the Ming invasion). After the enemy had been completely expelled, Nguyễn Trãi did his best to help Lê Lợi in the national reconstruction. In 1442, because of dishonest mandarins' great harm, Nguyễn Trãi and all his three related families were exterminated. His famous works were Bình Ngô Đại Cáo, Quân Trung Từ Mệnh Tập, Quốc Âm Thi Tập...</html>
Nhà Hậu Lê	<html>@Nhà Hậu Lê<br>-@Nhà Hậu Lê<br>- Nhà Hậu Lê (Post-Lê Dynasty) was founded by Lê Thái Tổ after the resounding victory over the Ming invaders. Our country was Đại Việt with Đông Kinh (Hà Nội) as royal capital. The feudal centralism had the despotic trends, especially in the second half of the 15th century The economic, political, military, educational and cultural fields were considerably developed. Đại Việt became the powerful nation in Southeast Asia. Confucianism held a more and more important position, while the literature reached the apogee under the reign of Lê Thánh Tôn. Đại Việt defeated Chăm Pa, occupied its royal city and set up the Quảng Nam administrative division. Because of the ruling class' immoderate luxury, Post-Lê Dynasty began to decline since the 17th century. Competition for power between warlords and peasant insurrections broke out everywhere. In 1527, Nhà Mạc (Mạc Dynasty) usurped Nhà Hậu Lệ Under the pretext of restoring Nhà Hậu Lê, Lords Nguyễn and Trịnh sought ways for suppressing Nhà Mạc. Between 1533 and 1788 was the period when Lê passed through renaissance and decline</html>
